id,name,address,latitude,longitude,type,type_number,telephone,theme,has_parkinglot,parkinglot_count,homepage,description
23,Noryang Bridge And Noryang Bridge Public Relations Office,"61 Seomjingang-daero, Geumnam-myeon, Hadong-gun, Gyeongsangnam-do",34.9487339,127.8663964,Tourist Attraction,,055-883-5500,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Group",Y,,,
24,Jijok Fishing Tourist Complex,"65 Jukbang-ro, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.8312904,127.9957367,Tourist Attraction,,055-867-2662,"Spring, Summer, Autumn, Winter, Private/rental, Bus, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",Y,,,
25,Mulmi Coastal Safety Guard,"720 Dongbu-daero, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.769833,128.0533244,Tourist Attraction,,0507-1377-0047,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship",Y,74,,"Skywalk, a dizzying activity as if walking in the sky! It is made in a cylindrical shape with a 360-degree view, providing free travelers with a space to rest in the winding Mulmi Coastal Road. On the first floor, there is a Namhae-gun specialty store where you can buy various items, and on the second floor, there is a bakery cafe and a rooftop observatory."
26,Lacquer Art,"1903 Namseo-daero, Seo-myeon, Namhae-gun, Gyeongsangnam-do",34.8239415,127.8235046,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone",Y,,,
27,Sulli Beach,"48-1 Misong-ro 303beon-gil, Mijo-myeon, Namhae-gun, Gyeongsangnam-do",34.707512,128.0261567,Tourist Attraction,,055-860-3371,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone",Y,,,"The name ""Sulli"" means white snow on the white sand.That's why it's named. Called the Robini of Naples and Kraotia, Italy, you can experience fishing villages and enjoy various marine sports."
28,Eternal Journey Namhae,"40-109 Namseo-daero 1179beon-gil, Nam-myeon, Namhae-gun, Gyeongsangnam-do",34.7772024,127.8530819,Tourist Attraction,,055-860-0688,"Spring, Summer, Autumn, Winter, Private/rental, Bus, Friend, kids, Lover, Female friendship,, Filial piety, Alone",Y,,https://ananti.kr/ko,
29,Topia Land Theme Garden,"270-106 Seobu-ro, Changseon-myeon, Namhae-gun, Gyeongsangnam-do",34.8455957,127.9818706,Tourist Attraction,,055-867-1182,"Spring, Summer, Autumn, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Group",Y,25,,"As the nation's first Topiary Park and Gyeongnam Folk Garden No. 3, the existence of the tree itself is healed, and you can enjoy a rest on the 500 cypress Dulle-gil."
30,Namhae Imagination Sheep Ranch Cypress Forest,"364 Seolcheon-ro 775beon-gil, Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.9361826,127.8906311,Tourist Attraction,,055-862-5300,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety",Y,,http://yangttefarm.com/,"Shouldn't you put all your ideas down and rest on the open grasslands at least one day in your life a vast open field The green forest and fields, and the cool sea in front of your eyes. Even the cute sheep's walks around us. The Namhae Sangsang Sheep Farm, where you can meet all of these, is spread out in the area of Gususan Mountain in Seolcheon-myeon."
31,Black Eagle Paragliding,"64-20 Namseo-daero 2197beon-gil, Seo-myeon, Namhae-gun, Gyeongsangnam-do",34.8490398,127.8120456,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone",Y,,http://www.xn--bj0bv9k80b0ml55dyuq.com/,
32,Seosang Guesthouse,"28-12 Namseo-daero 1687beon-gil, Seo-myeon, Namhae-gun, Gyeongsangnam-do",34.8089378,127.834237,Tourist Attraction,,0507-1353-7878,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,,https://blog.naver.com/jun100799,
33,Seomigarden,"1534-110 Nammyeon-ro, Nam-myeon, Namhae-gun, Gyeongsangnam-do",34.7522488,127.8606298,Tourist Attraction,,,"Spring, Autumn, Private/rental, Friend, kids, Lover, Male friendship, Alone",Y,,seomigarden.com/page/index.html,The island garden registered as Gyeongsangnam-do Civil Garden No. 1 was created by individuals cultivating Daraenginon one by one. You can see beautiful flowers by season.
34,Namhae Surfing School,"1170 Songjeong-ri, Mijo-myeon, Namhae-gun,Gyeongsangnam-do",34.723875,128.0226787,Tourist Attraction,,,"Spring, Summer, Autumn, Private/rental, Friend, Lover, Female friendship, Alone, Group",Y,,https://namhaesurf.modoo.at/,
35,Namhae Treasure Island Cinema,"12 Seonso-ro, Namhae-eup, Namhae-gun, Gyeongsangnam-do",34.8451138,127.8995432,Tourist Attraction,,055-862-7718,"Spring, Summer, Autumn, Winter, Private/rental, Bus, Friend, Lover, Female friendship, Male friendship Alone",Y,,https://namhae.scinema.kr/cinema/main.docgid=FE8EF4D2-F22D-4802-A39A-D58F23A29C1E&BrandCd=scinema&CinemaCd=000025,
36,Noryang-Wangji Cherry Blossom Road,"Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.9047051,127.9037274,Tourist Attraction,,055-860-8601,"Spring, Private/rental, Friend, Lover, Female friendship, Male friendship, Filial piety",Y,,,
37,Azalea Colony Of Mangunsan Mountain,"98 Nogu-ri, Seo-myeon, Namhae-gun,Gyeongsangnam-do",34.8569462,127.8514638,Tourist Attraction,,055-860-3676,"Spring, Private/rental, Bus, Male friendship, Alone, Group",Y,10,,"Mangunsan Mountain boasts the highest height of 786 meters in the South Sea. In May, the flowers in the royal azalea colony are in full bloom, and many people come from gatherings such as family and social gatherings, and it takes about an hour and a half to reach the summit. If you follow the tourist information board from Namhae-eup in the direction of Namhae Bridge for about 3 minutes, you will see Ieo Village in Gohyeon-myeon."
38,Gacheon Darangfield Rapeseed,"21 Nammyeon-ro 679beon-gil, Nam-myeon, Namhae-gun, Gyeongsangnam-do",34.7275092,127.8940077,Tourist Attraction,,055-860-8601,"Spring, Private/rental, Friend, Lover, Female friendship, Male friendship, Filial piety, Alone",Y,45,,
39,Namhae Indoor Gymnasium,"16 Hwajeon-ro 43beon-gil, Namhae-eup, Namhae-gun, Gyeongsangnam-do",34.8336957,127.8932705,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship Group",Y,,,
40,Subtropical Greenhouse,"2449 Namhae-daero, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.8172661,127.9231553,Tourist Attraction,,,,Y,,,
41,Namhae Dream Kayak Tour,"48-1 Misong-ro 303beon-gil, Mijo-myeon, Namhae-gun, Gyeongsangnam-do",34.707512,128.0261567,Tourist Attraction,,055-862-7827,"Spring, Summer, Autumn, Private/rental, Friend, Lover, Female friendship, Male friendship Alone, Group",Y,,http://www.xn--q20bt3f84e5vo4hal77bpkg49g.com/,
42,Iei Fishing Experience Village,"65 Namhae-daero 3100beon-gil, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.8630457,127.9011291,Tourist Attraction,,055-863-3697,"Spring, Summer, Private/rental, kids, Group",Y,,http://www.xn--hz2b11ta51n0g410aura767c.kr/,
43,Naesan Maple Road,"Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.830993,128.0010063,Tourist Attraction,,055-860-3654,"Autumn, Private/rental, Friend, Lover, Female friendship, Male friendship, Filial piety, Group",Y,,,
44,Dumo Canola Flower Buckwheat Flower Complex,"Yanga-ri, Sangju-myeon, Namhae-gun, Gyeongsangnam-do",34.730787,127.9661714,Tourist Attraction,,055-860-8601,"Spring, Bus, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",Y,35,,
45,Sangdeok Area,"1144 Namseo-daero, Nam-myeon, Namhae-gun, Gyeongsangnam-do",34.7828284,127.8613416,Tourist Attraction,,055-863-7724,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship Alone, Group",Y,50,http://www.sea-garden.kr/,"It is a place full of things to enjoy, where you can experience mudflats at the sea, picking wild vegetables and hiking schools at the mountains, farming and blueberries at the fields, and camping and traditional games at a large playground. Cleanly maintained accommodation facilities are equipped with convenient facilities that can be used by about 100 experienced people at the same time, and a small village museum can be opened to find rural scenery and the wisdom of old ancestors."
46,Vibration Area,"1462 Heungseon-ro, Changseon-myeon, Namhae-gun, Gyeongsangnam-do",34.8468806,128.0594867,Tourist Attraction,,055-867-5999,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship Alone, Group",Y,9,,"Seasonal and seasonal experiences are available in tidal flats and bracken fields, and there are 6 courses (horse hoof road) and 7 courses ( bracken field road) of Barae-gil, which are Namhae ecological experiences, so many people are looking for trekking courses."
47,Flower Area,"1745 Dongcheon-ri, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.8214704,128.0366406,Tourist Attraction,,055-862-1333,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Female friendship, Male friendship Group",Y,24,http://www.gaengbeon.co.kr/,"It is a place where you can experience all four seasons of agriculture and fisheries, including silverfish fishing experience, mudflats experience (rockfish shellfish, sok, clams, octopus, etc.) in summer, shiitake mushroom harvesting experience, garlic harvesting experience, and spinach harvesting experience in winter. The German village, the Gardening Arts Village, and the Haeoreum Arts Village are five minutes away by car, so you can enjoy the charm of the South Sea of Treasure Island. Additional facilities such as jjimjilbang, karaoke, futsal field, outdoor barbecue area, outdoor water playground, and seminar room are available free or cheap. Make beautiful memories with your family and lovers in the Kkotnae area! "
48,Coastal Bicycle Route 3 (Changshen Bridge To Danghoe Center),"12 Dongbu-daero 1876beon-gil, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.83102,128.0010173,Tourist Attraction,,055-860-3243,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship Alone",N,,,"It is the section from the bottom of Changseon Bridge in Samdong-myeon to Danhanghoe Center in Changseon-myeon, and is a road that connects to the 1024 local road. Passing through Sinheung Haebari Village, a fishing village experience village, it is a good section to appreciate the sunset and the bamboo forest of the Jijok Strait. A shelter where you can rest for a while while riding is built in front of the Bocheon Village Hall, and an air injector is also installed in front of the Bocheon Village Hall and at the Danhanghoe Center."
49,Coastal Bicycle Course 2 (Health Center To Changseon Bridge),"6 Seonso-ro, Namhae-eup, Namhae-gun, Gyeongsangnam-do",34.8447959,127.8986035,Tourist Attraction,,055-860-3243,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship Alone, Group",N,,,"Completed in 2000, the coastal bicycle course 2 is located in Namhae-eup, Namhae-gun. Established in 2014 with the approval of the Ministry of Culture, Sports and Tourism, the opening of the Treasure Island Cinema will close the cultural gap between the two coastal bicycles and the city.It is expected to be transformed into a complex cultural space and play a major role in expanding cultural enjoyment opportunities for county residents and improving the quality of life."
50,Coastal Bicycle Course 1 (Namhae Bridge To Namhae-Eup Seonso),"Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.9248248,127.9140253,Tourist Attraction,,055-860-3243,"Spring, Summer, Autumn, Winter, Private/rental, Lover, Female friendship, Male friendship Alone, Group",N,,,"Located in Noryang-ri, Seolcheon-myeon, Namhae-gun, the cherry blossom road is famous for its section to Seonso Village in Namhae-eup, and passes through fishing village experience villages such as Munmun and Year. The entire section consists of archipelago and coastal roads, making it a suitable section for riding due to small traffic and low pedestrians. A shelter where you can rest for a while while riding is built in the Munmun Fishing Village Experience Village below Namhae Bridge, and air injectors are also installed under Namhae Bridge, Munmun Fishing Village, and Jinmok Beach."
51,Mangunsan Sunset Road (Course 14),"Galhwa-ri, Gohyeon-myeon, Namhae-gun, Gyeongsangnam-do",34.8947153,127.8490654,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",N,,,
52,Yi Sun-Sin Hoguk-Gil(Course 13),"Noryang-ri, Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.9416232,127.8767315,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",N,,,
53,Dongdae Manjinjiri-Gil (Course 8),"Dongdae-ri, Changseon-myeon, Namhae-gun, Gyeongsangnam-do",34.8777169,128.0004928,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",N,,,
54,Korsaribat-Gil Course 7),"Jindong-ri, Changseon-myeon, Namhae-gun,Gyeongsangnam-do",34.8452258,128.0510002,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",N,,,
55,Malbapgup-Gil(Course 6),"Jijok-ri, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.8220772,127.9987652,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",N,,,
56,Hwajeon Byeolgok-Gil (Course 5),"Songjeong-ri, Mijo-myeon, Namhae-gun,Gyeongsangnam-do",34.750482,128.0428594,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",N,,,
57,Seomnorae-Gil(Course 4),"Songjeong-ri, Mijo-myeon, Namhae-gun,Gyeongsangnam-do",34.750482,128.0428594,Tourist Attraction,,,"Spring, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",N,,,
58,Kounmong-Gil(Course 3),"Yanga-ri, Sangju-myeon, Namhae-gun, Gyeongsangnam-do",34.730787,127.9661714,Tourist Attraction,,,"Spring, Summer, Autumn, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",N,,,
59,Angkangdasup-Gil(Course 2),"Honghyeon-ri, Nam-myeon, Namhae-gun,Gyeongsangnam-do",34.7381977,127.9007648,Tourist Attraction,,,"Spring, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",N,,,
60,Daraengiget-Gil (Course 1),"Pyeongsan-ri, Nam-myeon, Namhae-gun, Gyeongsangnam-do",34.7617601,127.8533386,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",N,,,
61,Jangpyeong Soryuji,"2449 Namhae-daero, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.8172661,127.9231553,Tourist Attraction,,,"Spring, Private/rental, Friend, kids, Lover, Female friendship,, Filial piety",Y,,,
62,Seolcheon Cherry Blossom Road,"695 Seolcheon-ro, Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.9248879,127.9139814,Tourist Attraction,,055-860-8601,,Y,,,
63,Namhae Pyeonbaek Natural Recreation Forest,"658 Geumam-ro, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.7547175,127.9964943,Tourist Attraction,,055-867-2021,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Group",Y,,https://www.foresttrip.go.kr/indvz/main.dohmpgId=0192,"It is a recreational forest operated by the National Recreation Forest Management Office and is located at the northern end of Hallyeohaesang National Park. Cypress and cedar trees planted in the 1960s form a dense forest, and the surrounding scenery is beautiful, making it the best place to enjoy healing as a forest bath resting place."
64,Ananti Namhae,"40-109 Namseo-daero 1179beon-gil, Nam-myeon, Namhae-gun, Gyeongsangnam-do",34.7767416,127.8521868,Tourist Attraction,,055-860-0100,"Spring, Summer, Autumn, Winter, Private/rental, Friend, Lover, Female friendship, Male friendship, Filial piety",Y,,https://ananti.kr/ko/namhae,
65,South Cape Owners Club,"1545 Heungseon-ro, Changseon-myeon, Namhae-gun, Gyeongsangnam-do",34.8406234,128.0613191,Tourist Attraction,,1644-0280,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Male friendship,, Filial piety",Y,,http://www.southcape.co.kr/golf_view.asp,
66,Treasure Island Garlic Land,"2443 Namhae-daero, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.8166447,127.9241724,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship, Filial piety, Alone, Group",Y,,,
67,Namhae Cultural Center,"12 Seonso-ro, Namhae-eup, Namhae-gun, Gyeongsangnam-do",34.8451138,127.8995432,Tourist Attraction,,055-860-8621,"Spring, Summer, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship Group",Y,,,
68,Namhae Agricultural And Marine Products Direct Sales Office,"191 Noryang-ro, Seolcheon-myeon, Namhae-gun, Gyeongsangnam-do",34.9405746,127.8739852,Tourist Attraction,,,,Y,,http://nhspecial.co.kr/,
69,Boguang Specialty Products Direct Sales Center,"2208 Namhae-daero, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.8081285,127.9467503,Tourist Attraction,,,,Y,,,
70,Seaside Village Direct Sales Center,"4-58 Seokpyeong-ro 58beon-gil, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.8061712,127.9442159,Tourist Attraction,,055-864-5050,,Y,,,
71,Chukhyeop Direct Store Namhae,"9 Hwajeon-ro 78beonga-gil, Namhae-eup, Namhae-gun, Gyeongsangnam-do",34.8386551,127.8947401,Tourist Attraction,,055-863-4081,,Y,,,
72,Namhae Barae-Gil Small Art Museum,"46 Nammyeon-ro 1739beon-gil, Nam-myeon, Namhae-gun, Gyeongsangnam-do",34.767577,127.8478552,Tourist Attraction,,055-862-5557,"Spring, Summer, Autumn, Winter, Private/rental, Bus, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,,,"Located at the starting point of Baraegil Course 1 Darangigetgil, it is used as a resting place for visitors who start tracking after a short stay."
73,Kilhyeon Museum Of Art Camping Site,"198-1 Namseo-daero, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.7802606,127.9408681,Tourist Attraction,,055-862-9708,,Y,,,
74,Gilhyun Art Museum,"198-1 Namseo-daero, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.7802606,127.9408681,Tourist Attraction,,055-862-9708,,Y,,,
75,Namhae-Gun National Sports Center,"26 Hwajeon-ro 78beon-gil, Namhae-eup, Namhae-gun, Gyeongsangnam-do",34.8375482,127.8969064,Tourist Attraction,,055-860-3560,"Spring, Summer, Autumn, Winter, Private/rental, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,,,
76,Nammyeon Public Market,"785-4 Namseo-daero, Nam-myeon, Namhae-gun, Gyeongsangnam-do",34.7709989,127.8855945,Tourist Attraction,,,"Spring, Summer, Autumn, Winter, Private/rental, Bus, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,,,
77,Jijok Public Market,"30-1 Dongbu-daero 1876beon-gil, Samdong-myeon, Namhae-gun, Gyeongsangnam-do",34.8306143,128.003007,Tourist Attraction,,055-860-3191,"Spring, Summer, Autumn, Winter, Private/rental, Bus, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,5,,
78,Idong Public Market,"9 Murim-ro 63beon-gil, Idong-myeon, Namhae-gun, Gyeongsangnam-do",34.8008384,127.9538697,Tourist Attraction,,055-860-3191,"Spring, Summer, Autumn, Winter, Private/rental, Bus, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,60,,
79,Namhae Traditional Market,"110 Hwajeon-ro, Namhae-eup, Namhae-gun, Gyeongsangnam-do",34.840602,127.8943112,Tourist Attraction,,055-864-3592,"Spring, Summer, Autumn, Winter, Private/rental, Bus, Friend, kids, Lover, Female friendship, Male friendship Alone",Y,77,,
